Wall time,Step,Value
1661412138.2805593,0,10642.234375
1661412179.8877647,1,5100.60205078125
1661412220.7215521,2,3582.406982421875
1661412261.4640238,3,2776.970458984375
1661412301.8886907,4,2200.869873046875
1661412342.8085408,5,1760.1812744140625
1661412383.480734,6,1529.9466552734375
1661412424.2003217,7,1332.3778076171875
1661412465.065737,8,1181.2611083984375
1661412505.9924479,9,1091.4632568359375
1661412546.5537179,10,977.6571655273438
1661412587.3735807,11,914.9036865234375
1661412627.9389555,12,840.8237915039062
1661412668.6855204,13,789.1954956054688
1661412709.374565,14,738.3202514648438
1661412750.0025218,15,697.2495727539062
1661412790.3196177,16,659.0235595703125
1661412831.3263967,17,627.8974609375
1661412872.362355,18,594.9957275390625
1661412913.0746832,19,572.7800903320312
1661412953.865598,20,573.4989013671875
1661412994.168378,21,604.2268676757812
1661413034.659096,22,532.6795654296875
1661413075.3697495,23,497.61480712890625
1661413115.7760172,24,489.4469909667969
1661413156.3683033,25,470.5033874511719
1661413197.058165,26,461.0924072265625
1661413237.3217072,27,460.4124450683594
1661413277.5149894,28,440.5821838378906
1661413317.555164,29,432.0738220214844
1661413357.503128,30,417.3251037597656
1661413397.3492553,31,410.05126953125
1661413437.4139547,32,401.0968933105469
1661413477.8665211,33,392.6280212402344
1661413518.1080935,34,392.1694641113281
1661413558.3181279,35,379.3046875
1661413598.378565,36,377.2839660644531
1661413638.4178176,37,375.7883605957031
1661413678.1372778,38,361.7313537597656
1661413718.2566986,39,362.494873046875
1661413758.078023,40,351.5687561035156
1661413798.6405458,41,347.18572998046875
1661413838.5397282,42,346.2076416015625
1661413878.375093,43,339.3515319824219
1661413918.5273798,44,349.8813171386719
1661413958.3369381,45,331.52935791015625
1661413997.8672185,46,333.5027160644531
1661414037.8549724,47,325.1433410644531
1661414077.5074885,48,329.7271728515625
1661414117.481921,49,339.1309509277344
1661414157.078069,50,315.5022277832031
1661414196.5172565,51,314.7120361328125
1661414236.0550096,52,308.6963806152344
1661414276.2016952,53,306.62213134765625
1661414315.7791836,54,303.3126525878906
1661414355.7073185,55,302.0199890136719
1661414395.6222582,56,300.1297302246094
1661414435.398086,57,305.05975341796875
1661414475.17802,58,292.7854309082031
1661414514.6614983,59,293.7607421875
1661414553.8286564,60,288.65936279296875
1661414593.0941455,61,286.10260009765625
1661414632.468453,62,288.6115417480469
1661414671.687628,63,287.3013000488281
1661414711.4183242,64,282.8443603515625
1661414751.4286027,65,288.3582458496094
1661414791.0392976,66,284.98077392578125
1661414830.0752554,67,277.58050537109375
1661414869.253841,68,289.6715393066406
1661414908.1638203,69,287.2003173828125
1661414947.397486,70,295.9788513183594
1661414986.6577606,71,277.4622802734375
1661415025.972303,72,276.6977844238281
1661415065.7105432,73,271.9271240234375
1661415104.8859813,74,277.9285583496094
1661415144.322214,75,266.58343505859375
1661415183.6296384,76,285.75323486328125
1661415222.7213082,77,265.5478515625
1661415261.8308752,78,264.4715270996094
1661415300.9093795,79,263.7422790527344
1661415340.2065077,80,264.0919494628906
1661415379.9729738,81,261.1763000488281
1661415419.6783774,82,260.0624694824219
1661415459.0113995,83,261.07269287109375
1661415498.32733,84,261.98046875
1661415537.9653535,85,256.90667724609375
1661415577.416546,86,256.4724426269531
1661415616.7123303,87,260.0442810058594
1661415655.9205823,88,258.46881103515625
1661415695.6768267,89,263.72723388671875
1661415735.611803,90,252.9920196533203
1661415775.338149,91,262.53265380859375
1661415814.6548042,92,282.5991516113281
1661415854.2342372,93,261.1069030761719
1661415893.5335097,94,252.88487243652344
1661415932.7833593,95,252.0854034423828
1661415972.5138273,96,254.29049682617188
1661416012.0789237,97,254.92660522460938
1661416051.8017607,98,247.39341735839844
1661416091.1108203,99,246.7275390625
1661416130.3193564,100,261.7799072265625
1661416170.1977825,101,245.4895477294922
1661416209.7092633,102,244.2013397216797
1661416248.7882009,103,257.73907470703125
1661416288.3046885,104,243.7677764892578
1661416327.7777336,105,245.39306640625
1661416367.1578875,106,241.0830535888672
1661416406.9689808,107,241.5939483642578
1661416446.8869703,108,242.52972412109375
1661416486.88227,109,237.81468200683594
1661416526.5736368,110,264.40667724609375
1661416566.476698,111,244.57244873046875
1661416606.3681045,112,240.4073944091797
